Time Instance,Trustor,Trustee,Pack_f,Pack_d,Pack_f Count,Pack_d Count,pdr,Frd1,CoI_id
157,3,1,0,1,44,44,0.5,1,1
158,6,1,0,1,82,96,0.460674157,1,1
159,6,1,0,1,82,97,0.458100559,1,1
159,6,1,0,1,82,98,0.455555556,1,1
160,3,1,1,0,45,44,0.505617978,1,1
160,3,1,1,0,46,44,0.511111111,1,1
161,6,1,1,0,83,98,0.458563536,1,1
161,6,1,0,1,83,99,0.456043956,1,1
162,3,1,0,1,46,45,0.505494505,1,1
163,6,1,0,1,83,100,0.453551913,1,1
163,3,1,0,1,46,46,0.5,1,1
164,6,1,1,0,84,100,0.456521739,1,1
165,3,1,0,1,46,47,0.494623656,1,1
166,3,1,0,1,46,48,0.489361702,1,1
167,6,1,0,1,84,101,0.454054054,1,1
168,3,1,1,0,47,48,0.494736842,1,1
168,6,1,0,1,84,102,0.451612903,1,1
169,6,1,0,1,84,103,0.449197861,1,1
170,3,1,1,0,48,48,0.5,1,1
170,6,1,1,0,85,103,0.45212766,1,1
171,6,1,0,1,85,104,0.44973545,1,1
171,6,1,1,0,86,104,0.452631579,1,1
172,6,1,1,0,87,104,0.455497382,1,1
173,6,1,1,0,88,104,0.458333333,1,1
173,6,1,0,1,88,105,0.455958549,1,1
174,3,1,0,1,48,49,0.494845361,1,1
175,6,1,1,0,89,105,0.458762887,1,1
176,6,1,0,1,89,106,0.456410256,1,1
176,3,1,0,1,48,50,0.489795918,1,1
178,6,1,1,0,90,106,0.459183673,1,1
178,6,1,1,0,91,106,0.461928934,1,1
179,6,1,1,0,92,106,0.464646465,1,1
179,6,1,0,1,92,107,0.462311558,1,1
180,3,1,0,1,48,51,0.484848485,1,1
180,6,1,1,0,93,107,0.465,1,1
181,6,1,1,0,94,107,0.467661692,1,1
181,6,1,0,1,94,108,0.465346535,1,1
182,3,1,1,0,49,51,0.49,1,1
182,6,1,1,0,95,108,0.467980296,1,1
183,6,1,0,1,95,109,0.465686275,1,1
183,3,1,1,0,50,51,0.495049505,1,1
184,3,1,1,0,51,51,0.5,1,1
185,6,1,1,0,96,109,0.468292683,1,1
186,3,1,1,0,52,51,0.504854369,1,1
188,6,1,0,1,96,110,0.466019417,1,1
188,3,1,1,0,53,51,0.509615385,1,1
189,6,1,0,1,96,111,0.463768116,1,1
189,6,1,1,0,97,111,0.466346154,1,1
190,6,1,1,0,98,111,0.468899522,1,1
190,3,1,1,0,54,51,0.514285714,1,1
191,6,1,0,1,98,112,0.466666667,1,1
191,6,1,1,0,99,112,0.469194313,1,1
192,3,1,1,0,55,51,0.518867925,1,1
192,6,1,0,1,99,113,0.466981132,1,1
193,3,1,1,0,56,51,0.523364486,1,1
193,6,1,0,1,99,114,0.464788732,1,1
194,6,1,1,0,100,114,0.46728972,1,1
194,3,1,0,1,56,52,0.518518519,1,1
195,6,1,0,1,100,115,0.465116279,1,1
197,6,1,0,1,100,116,0.462962963,1,1
198,3,1,0,1,56,53,0.513761468,1,1
199,6,1,0,1,100,117,0.460829493,1,1
199,6,1,0,1,100,118,0.458715596,1,1
200,3,1,1,0,57,53,0.518181818,1,1
200,6,1,0,1,100,119,0.456621005,1,1
201,6,1,1,0,101,119,0.459090909,1,1
201,3,1,0,1,57,54,0.513513514,1,1
203,6,1,1,0,102,119,0.461538462,1,1
203,6,1,0,1,102,120,0.459459459,1,1
204,6,1,0,1,102,121,0.457399103,1,1
205,3,1,1,0,58,54,0.517857143,1,1
206,6,1,1,0,103,121,0.459821429,1,1
206,6,1,1,0,104,121,0.462222222,1,1
207,3,1,0,1,58,55,0.513274336,1,1
207,6,1,1,0,105,121,0.46460177,1,1
208,6,1,1,0,106,121,0.466960352,1,1
208,6,1,1,0,107,121,0.469298246,1,1
209,6,1,1,0,108,121,0.471615721,1,1
209,6,1,0,1,108,122,0.469565217,1,1
210,6,1,1,0,109,122,0.471861472,1,1
210,6,1,0,1,109,123,0.469827586,1,1
211,3,1,1,0,59,55,0.51754386,1,1
211,6,1,0,1,109,124,0.467811159,1,1
212,6,1,0,1,109,125,0.465811966,1,1
212,3,1,1,0,60,55,0.52173913,1,1
213,6,1,0,1,109,126,0.463829787,1,1
214,6,1,0,1,109,127,0.461864407,1,1
214,6,1,0,1,109,128,0.459915612,1,1
215,6,1,1,0,110,128,0.462184874,1,1
216,3,1,0,1,60,56,0.517241379,1,1
216,6,1,0,1,110,129,0.460251046,1,1
217,6,1,1,0,111,129,0.4625,1,1
217,3,1,1,0,61,56,0.521367521,1,1
218,6,1,0,1,111,130,0.460580913,1,1
218,6,1,0,1,111,131,0.458677686,1,1
219,3,1,0,1,61,57,0.516949153,1,1
219,6,1,1,0,112,131,0.46090535,1,1
220,3,1,0,1,61,58,0.512605042,1,1
220,6,1,0,1,112,132,0.459016393,1,1
221,3,1,1,0,62,58,0.516666667,1,1
221,6,1,1,0,113,132,0.46122449,1,1
222,3,1,0,1,62,59,0.512396694,1,1
223,6,1,0,1,113,133,0.459349593,1,1
224,3,1,1,0,63,59,0.516393443,1,1
224,6,1,1,0,114,133,0.461538462,1,1
225,6,1,0,1,114,134,0.459677419,1,1
226,3,1,0,1,63,60,0.512195122,1,1
227,6,1,0,1,114,135,0.457831325,1,1
227,3,1,1,0,64,60,0.516129032,1,1
228,6,1,1,0,115,135,0.46,1,1
228,3,1,1,0,65,60,0.52,1,1
230,6,1,0,1,115,136,0.458167331,1,1
230,6,1,1,0,116,136,0.46031746,1,1
231,3,1,0,1,65,61,0.515873016,1,1
231,6,1,1,0,117,136,0.462450593,1,1
232,6,1,1,0,118,136,0.464566929,1,1
233,3,1,0,1,65,62,0.511811024,1,1
235,3,1,0,1,65,63,0.5078125,1,1
235,6,1,1,0,119,136,0.466666667,1,1
236,6,1,0,1,119,137,0.46484375,1,1
237,3,1,0,1,65,64,0.503875969,1,1
239,6,1,1,0,120,137,0.46692607,1,1
239,3,1,0,1,65,65,0.5,1,1
240,6,1,0,1,120,138,0.465116279,1,1
240,6,1,1,0,121,138,0.467181467,1,1
241,3,1,0,1,65,66,0.496183206,1,1
241,6,1,1,0,122,138,0.469230769,1,1
242,3,1,1,0,66,66,0.5,1,1
243,6,1,1,0,123,138,0.471264368,1,1
243,6,1,1,0,124,138,0.473282443,1,1
244,3,1,0,1,66,67,0.496240602,1,1
245,6,1,0,1,124,139,0.47148289,1,1
245,6,1,1,0,125,139,0.473484848,1,1
